candidate	song	artist	sentiment	theme	album_release_date	line	url	artist_genius	lastfm_song	lastfm_artist	lastfm_listeners
Donald Trump	Dag Philly Too	Homeboy Sandman	neutral		2013	"Before a Trump, the billionaire punks was the pattern"	http://genius.com/Homeboy-sandman-dag-philly-too-lyrics	Homeboy Sandman	Dag Philly Too	Homeboy Sandman	1307
Donald Trump	Song for the Ville	J.Cole	neutral	money	2010	"Bill Gates, Donald Trump, motherfucker let me in"	http://genius.com/J-cole-song-for-the-ville-lyrics	J. Cole	Song for the Ville	J. Cole	3688
Hillary Clinton	Mayor Bloomberg: Who's Really in Control?	Jasiri X	neutral		2013	2016 that's right Hillary I'll show you what a Billie means	http://genius.com/Jasiri-x-mayor-bloomberg-whos-really-in-control-lyrics	Jasiri X		Jasiri X
Hillary Clinton	Bitch Don't Kill My Vibe (Remix)	Jay Z	neutral		2012	Sittin' next to Hillary smellin' like dank	http://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-remix-lyrics	Kendrick Lamar	Bitch Don't Kill My Vibe (Remix)	Kendrick Lamar	2148
Donald Trump	Zoom Zooms and Wam Wam	Jay-O-Felony	positive	personal	1995	"I wanna be like Donald Trump, not Willie Lump-Lump"	http://genius.com/Jay-o-felony-zoom-zooms-and-wam-wam-lyrics	Jayo Felony	Zoom Zooms and Wam Wam	Jayo Felony	585
Hillary Clinton	I Luv Your Girl (Remix)	Jeezy	neutral		2008	"It goes Hillary Clinton, Barack Obama"	http://genius.com/The-dream-i-luv-your-girl-remix-lyrics	The-Dream	I Luv Your Girl (Remix)	The-Dream	574
Donald Trump	Thug Motivation 101	Jeezy	positive		2005	I'm Donald Trump in a white tee and white 1's (chea)	http://genius.com/Jeezy-thug-motivation-101-lyrics	Jeezy	Thug Motivation 101	Young Jeezy	31600
Donald Trump	Hollow Da Don vs. Joe Budden	Joe Budden	neutral	The Apprentice	2014	"Senseless, Apprentice I thought Da Don knew Trump (Donald Trump)"	http://genius.com/Total-slaughter-hollow-da-don-vs-joe-budden-lyrics	Total Slaughter
Hillary Clinton	Tec in the Church	Joyner Lucas	neutral		2016	"Hillary Clinton ain't gon' like this, she's fanning next to a serpent"	http://genius.com/Jarren-benton-tec-in-the-church-lyrics	Jarren Benton	Tec in the Church	Jarren Benton	208
Hillary Clinton	U Ain't Fresh	KAM	neutral	personal	2000	"Like Bill ass Hillary, ""what's up?"" / Still love me, pretty young thang?"	http://genius.com/Dj-quik-u-aint-fresh-lyrics	DJ Quik	U Ain't Fresh	DJ Quik	768
